point_numer;y_coord;x_coord;h_coord;eliminated;session_name
11083500;2627144.236;1239766.647;435.079;;SE1
6005481;2629303.513;1240218.295;436.092;;SE1
6005195;2629298.105;1240419.881;431.562;;SE1
6005391;2629325.210;1240515.171;430.190;;SE1
6005058;2629283.791;1240470.510;429.525;;SE1
6005511;2629270.691;1240560.015;429.206;;SE1
6005392;2629369.850;1240515.400;430.676;;SE1
6005458;2629423.970;1240476.297;433.055;;SE1
6005544;2629497.863;1240396.124;434.769;;SE1
6005198;2629467.348;1240359.765;435.033;;SE1
6005482;2629385.259;1240293.069;435.202;;SE1
6005387;2629431.336;1240229.817;438.750;;SE1
629486240165;2629487.008;1240166.080;440.379;;SE1
6005201;2629583.832;1240151.114;441.433;;SE1
6005200;2629529.946;1240202.704;442.050;;SE1
6005420;2629559.407;1240245.888;440.948;;SE1
6005421;2629525.981;1240287.985;439.328;;SE1
6005491;2629542.472;1240346.320;437.321;;SE1
6004039;2629566.293;1240365.492;438.068;;SE1
6005509;2629617.314;1240269.374;441.448;;SE1
6005052;2629649.684;1240226.672;444.116;;SE1
6005405;2629717.841;1240162.525;444.957;;SE1
6005269;2629753.778;1240141.871;444.975;9999.;SE1
6005438;2629724.809;1240205.591;446.186;;SE1
6005469;2629758.510;1240271.761;443.927;;SE1
6005515;2629724.563;1240294.919;443.076;;SE1
6005514;2629685.652;1240257.684;444.151;;SE1
6005495;2629773.523;1240341.075;437.919;;SE1
6005494;2629743.591;1240377.140;435.782;;SE1
6005456;2629715.748;1240392.824;435.320;;SE1
6005512;2629656.769;1240351.445;438.765;;SE1
6004038;2629610.764;1240313.652;440.493;;SE1
6005480;2629572.237;1240456.412;433.643;;SE1
6005454;2629615.407;1240494.623;433.016;;SE1
6005455;2629668.302;1240445.502;433.942;;SE1
6005406;2629754.929;1240430.095;434.476;;SE1
6005404;2629707.106;1240477.892;434.282;;SE1
6005403;2629660.578;1240535.055;432.425;;SE1
6005206;2629731.331;1240595.436;432.279;;SE1
6005516;2629853.748;1240696.650;434.891;;SE1
6005441;2629799.123;1240737.867;434.191;;SE1
629796240739;2629796.981;1240740.217;434.168;;SE1
629786240746;2629787.227;1240747.029;434.074;;SE1
629783240742;2629784.062;1240742.592;434.070;;SE1
629744240761;2629745.249;1240762.073;433.447;;SE1
6005038;2629745.491;1240761.099;433.465;;SE1
629741240760;2629741.942;1240760.853;433.321;;SE1
6005346;2629701.118;1240702.786;435.208;;SE1
629642240744;2629643.454;1240745.155;430.044;;SE1
6005341;2629530.096;1240565.247;432.518;;SE1
6005288;2629493.163;1240541.178;432.504;;SE1
6005342;2629579.539;1240543.279;431.809;;SE1
11085480;2630908.869;1240356.931;450.868;;SE1
11084590;2629739.361;1238666.882;428.368;;SE1
6005390;2629487.400;1240668.702;428.689;;SE1
629452240636;2629452.628;1240636.986;429.606;;SE1
6005508;2629531.538;1240867.111;428.014;;SE1
6005034;2629496.558;1240891.166;427.988;;SE1
6005386;2629651.294;1240837.798;428.316;;SE1
6005395;2629695.199;1240804.445;430.674;;SE1
6005396;2629729.359;1240850.769;430.077;;SE1
6005394;2629778.019;1240902.480;427.576;;SE1
6005457;2629785.557;1240984.562;426.650;;SE1
6005422;2629741.513;1240946.443;427.069;;SE1
629741240940;2629741.659;1240940.695;427.229;;SE1
6005545;2629636.104;1240921.123;427.851;;SE1
629636240919;2629637.447;1240919.738;427.905;;SE1
6005388;2629743.857;1241019.890;427.482;;SE1
6005031;2629659.476;1241105.334;427.872;;SE1
629638241166;2629638.460;1241166.550;427.370;;SE1
629796241078;2629796.621;1241079.150;427.237;;SE1
6005499;2629768.777;1241131.178;427.211;;SE1
629744241157;2629745.320;1241157.666;427.320;;SE1
629736241161;2629736.670;1241161.929;427.438;;SE1
6005500;2629732.715;1241162.500;427.430;;SE1
6005418;2629832.937;1241009.847;426.852;9999.;SE1
629836241014;2629837.109;1241014.761;427.031;;SE1
6005393;2629871.016;1240971.328;426.922;;SE1
6005213;2629918.729;1240917.678;427.811;;SE1
6005419;2629901.055;1241051.046;426.366;;SE1
6005411;2629968.892;1241086.568;426.651;9999.;SE1
6005443;2629930.450;1241119.446;426.841;;SE1
6005442;2630001.821;1241147.944;426.757;;SE1
6005296;2630102.058;1241115.299;426.497;;SE1
6005258;2629849.685;1241086.045;427.044;;SE1
6005436;2630067.694;1241174.254;426.614;;SE1
6005437;2630122.975;1241204.819;426.697;;SE1
6005529;2629921.783;1240296.144;436.779;;SE1
6005407;2629888.705;1240338.026;436.289;;SE1
6005408;2629978.789;1240294.784;437.361;;SE1
6005409;2630054.349;1240244.686;438.514;;SE1
6005271;2629905.042;1240201.735;443.156;;SE1
6005270;2629830.607;1240176.395;447.328;9999.;SE1
11084040;2629290.580;1241230.224;427.616;;SE1
630161240908;2630162.460;1240909.117;426.980;;SE1
6005216;2630160.287;1240906.564;426.987;;SE1
6005067;2630082.675;1240498.131;439.549;;SE1
6005440;2629815.758;1240310.562;439.144;;SE1
6005272;2629976.223;1240224.212;439.883;;SE1
6005530;2629836.745;1240248.080;442.393;;SE1
11083500;2627144.254;1239766.660;435.097;;SE2
6005481;2629303.517;1240218.301;436.079;;SE2
6005195;2629298.110;1240419.896;431.577;;SE2
6005391;2629325.216;1240515.179;430.169;;SE2
6005058;2629283.802;1240470.517;429.539;;SE2
6005392;2629369.856;1240515.400;430.652;;SE2
6005511;2629270.695;1240560.010;429.220;;SE2
6005458;2629423.973;1240476.296;433.050;;SE2
6005544;2629497.874;1240396.126;434.762;;SE2
6005198;2629467.352;1240359.768;435.018;;SE2
6005482;2629385.258;1240293.056;435.224;;SE2
6005387;2629431.348;1240229.817;438.785;;SE2
629486240165;2629487.005;1240166.100;440.383;;SE2
6005201;2629583.838;1240151.108;441.471;;SE2
6005200;2629529.966;1240202.706;442.050;;SE2
6005420;2629559.419;1240245.890;440.918;;SE2
6005421;2629525.983;1240287.984;439.336;;SE2
6005491;2629542.473;1240346.306;437.337;;SE2
6004039;2629566.296;1240365.484;438.074;;SE2
6005509;2629617.322;1240269.391;441.456;;SE2
6005052;2629649.684;1240226.667;444.086;;SE2
6005405;2629717.848;1240162.518;444.981;;SE2
6005269;2629753.758;1240141.915;445.071;9999.;SE2
6005438;2629724.828;1240205.596;446.199;;SE2
6005469;2629758.507;1240271.776;443.898;;SE2
6005515;2629724.565;1240294.920;443.090;;SE2
6005514;2629685.638;1240257.676;444.140;;SE2
6005495;2629773.532;1240341.085;437.930;;SE2
6005494;2629743.602;1240377.146;435.776;;SE2
6005456;2629715.751;1240392.840;435.330;;SE2
6005512;2629656.763;1240351.451;438.777;;SE2
6004038;2629610.770;1240313.652;440.473;;SE2
6005480;2629572.259;1240456.433;433.606;;SE2
6005454;2629615.417;1240494.608;433.009;;SE2
6005455;2629668.308;1240445.498;433.946;;SE2
6005406;2629754.919;1240430.097;434.485;;SE2
6005404;2629707.092;1240477.880;434.280;;SE2
6005403;2629660.576;1240535.055;432.401;;SE2
6005206;2629731.335;1240595.415;432.271;;SE2
6005516;2629853.750;1240696.643;434.882;;SE2
6005441;2629799.111;1240737.855;434.178;;SE2
629796240739;2629796.952;1240740.202;434.158;;SE2
629786240746;2629787.215;1240747.033;434.060;;SE2
629783240742;2629784.064;1240742.581;434.034;;SE2
629741240760;2629741.940;1240760.848;433.313;;SE2
629744240761;2629745.247;1240762.073;433.452;;SE2
6005038;2629745.487;1240761.110;433.463;;SE2
6005346;2629701.127;1240702.791;435.212;;SE2
629642240744;2629643.462;1240745.145;430.028;;SE2
11085480;2630908.873;1240356.924;450.871;;SE2
11084590;2629739.363;1238666.887;428.381;;SE2
629452240636;2629452.610;1240636.980;429.536;;SE2
6005390;2629487.407;1240668.703;428.707;;SE2
6005342;2629579.538;1240543.273;431.810;;SE2
6005341;2629530.088;1240565.241;432.523;;SE2
6005288;2629493.163;1240541.171;432.502;;SE2
629531240867;2629531.796;1240867.675;428.120;;SE2
6005508;2629531.557;1240867.104;428.003;;SE2
6005034;2629496.545;1240891.176;427.972;;SE2
6005386;2629651.311;1240837.803;428.343;;SE2
6005395;2629695.197;1240804.441;430.668;;SE2
6005396;2629729.357;1240850.753;430.093;;SE2
6005394;2629778.018;1240902.492;427.563;;SE2
6005422;2629741.509;1240946.437;427.076;;SE2
629741240940;2629741.659;1240940.664;427.189;;SE2
6005457;2629785.567;1240984.565;426.638;;SE2
6005545;2629636.091;1240921.129;427.846;;SE2
6005388;2629743.858;1241019.886;427.489;;SE2
6005031;2629659.481;1241105.317;427.883;;SE2
629796241078;2629796.635;1241079.141;427.251;;SE2
6005499;2629768.796;1241131.188;427.244;;SE2
629736241161;2629736.663;1241161.951;427.429;;SE2
6005500;2629732.723;1241162.518;427.466;;SE2
6005258;2629849.680;1241086.045;427.076;;SE2
6005443;2629930.435;1241119.454;426.869;;SE2
6005442;2630001.826;1241147.939;426.725;;SE2
6005436;2630067.699;1241174.243;426.637;;SE2
6005296;2630102.062;1241115.304;426.504;;SE2
6005437;2630122.981;1241204.801;426.696;;SE2
6005411;2629968.900;1241086.632;426.618;9999.;SE2
6005216;2630160.277;1240906.549;427.007;;SE2
630161240908;2630162.453;1240909.115;426.993;;SE2
6005419;2629901.070;1241051.036;426.401;;SE2
6005418;2629832.872;1241009.967;427.115;9999.;SE2
6005393;2629871.023;1240971.340;426.873;;SE2
6005213;2629918.735;1240917.686;427.778;;SE2
6005407;2629888.704;1240338.032;436.303;;SE2
6005440;2629815.754;1240310.558;439.109;;SE2
6005530;2629836.750;1240248.079;442.429;;SE2
6005529;2629921.787;1240296.147;436.792;;SE2
6005408;2629978.788;1240294.774;437.351;;SE2
6005409;2630054.358;1240244.688;438.532;;SE2
6005272;2629976.228;1240224.205;439.829;;SE2
6005271;2629905.042;1240201.697;443.202;9999.;SE2
6005270;2629830.612;1240176.381;447.380;9999.;SE2
6005067;2630082.668;1240498.129;439.546;;SE2
11084040;2629290.578;1241230.233;427.603;;SE2
11083500;2627144.247;1239766.653;435.079;;SE3
629448241609;2629449.041;1241610.201;426.604;;SE3
6005017;2629448.097;1241607.649;426.752;;SE3
629437241609;2629438.185;1241609.235;426.517;;SE3
6005535;2628952.727;1241643.189;428.991;;SE3
6005532;2629389.453;1241805.044;427.705;;SE3
6005542;2629802.763;1241675.810;425.747;;SE3
6005014;2629554.329;1241381.781;426.943;;SE3
6005521;2629230.790;1241329.180;427.973;;SE3
6005253;2629517.845;1241101.923;427.090;;SE3
629535241119;2629536.193;1241119.745;427.303;;SE3
6005522;2629956.235;1241333.731;426.247;;SE3
11085480;2630908.869;1240356.925;450.887;;SE3
11084590;2629739.365;1238666.885;428.396;;SE3
6005134;2629928.466;1239568.023;429.105;;SE3
6005282;2629890.311;1239757.605;428.657;;SE3
6005397;2629774.692;1240036.136;435.220;9999.;SE3
6005398;2629683.707;1240050.976;433.310;;SE3
630256239784;2630257.279;1239785.170;426.899;;SE3
630448239632;2630448.507;1239632.336;427.613;;SE3
630457239633;2630457.971;1239633.852;427.700;;SE3
630689239656;2630689.873;1239656.497;425.005;;SE3
630678239647;2630678.832;1239648.185;425.077;;SE3
6005478;2631000.284;1240056.427;433.166;;SE3
6005525;2630792.021;1240317.303;452.183;;SE3
6005096;2630513.760;1240729.314;440.828;;SE3
6005524;2630490.143;1240886.769;439.299;;SE3
6005087;2630170.820;1241105.204;426.260;;SE3
6005523;2629320.668;1240677.638;428.678;;SE3
6005061;2629278.586;1240734.704;428.599;;SE3
629369240140;2629370.300;1240140.917;437.941;;SE3
6005082;2629533.097;1240041.848;434.866;;SE3
629515240029;2629515.578;1240029.426;433.867;;SE3
629516240024;2629516.629;1240024.876;433.773;;SE3
630187240439;2630187.758;1240440.105;440.210;;SE3
6005220;2630283.490;1240484.064;441.151;;SE3
6005414;2630525.553;1239565.269;425.964;;SE3
11084040;2629290.590;1241230.224;427.601;;SE3
11083500;2627144.240;1239766.651;435.109;;SE4
6005017;2629448.092;1241607.642;426.735;;SE4
629448241609;2629449.031;1241610.196;426.596;;SE4
629437241609;2629438.182;1241609.239;426.514;;SE4
629429241605;2629430.436;1241606.098;427.058;;SE4
6005535;2628952.732;1241643.213;428.956;;SE4
6005532;2629389.450;1241805.050;427.692;;SE4
6005542;2629802.769;1241675.807;425.755;;SE4
6005014;2629554.334;1241381.781;426.922;;SE4
6005521;2629230.793;1241329.179;427.964;;SE4
629535241119;2629536.193;1241119.738;427.307;;SE4
6005253;2629517.833;1241101.915;427.087;;SE4
6005522;2629956.246;1241333.690;426.232;;SE4
6005087;2630170.835;1241105.222;426.310;;SE4
6005524;2630490.142;1240886.780;439.326;;SE4
6005096;2630513.750;1240729.326;440.869;;SE4
6005525;2630791.978;1240317.353;452.087;;SE4
11085480;2630908.878;1240356.934;450.878;;SE4
6005478;2631000.290;1240056.443;433.214;;SE4
630689239656;2630689.853;1239656.499;425.038;;SE4
630678239647;2630678.816;1239648.196;425.123;;SE4
6005414;2630525.542;1239565.288;426.056;;SE4
630448239632;2630448.528;1239632.349;427.661;;SE4
630457239633;2630457.998;1239633.869;427.739;;SE4
630256239784;2630257.256;1239785.160;426.969;;SE4
6005134;2629928.472;1239568.031;429.108;;SE4
6005282;2629890.321;1239757.627;428.640;;SE4
6005397;2629774.664;1240036.106;435.389;9999.;SE4
6005398;2629683.705;1240050.974;433.353;;SE4
11084590;2629739.357;1238666.893;428.394;;SE4
629369240140;2629370.301;1240140.905;437.967;;SE4
629515240029;2629515.589;1240029.428;433.874;;SE4
629516240024;2629516.626;1240024.872;433.813;;SE4
6005082;2629533.090;1240041.855;434.891;;SE4
630187240439;2630187.756;1240440.112;440.244;;SE4
6005220;2630283.483;1240484.058;441.175;;SE4
6005523;2629320.667;1240677.641;428.700;;SE4
6005061;2629278.596;1240734.701;428.635;;SE4
11084040;2629290.581;1241230.228;427.626;;SE4
11083500;2627144.235;1239766.660;435.080;;SE5
6005284;2630435.214;1239715.617;426.320;;SE5
630438239715;2630438.937;1239715.446;426.301;;SE5
630769239939;2630769.976;1239939.583;449.186;;SE5
6005479;2630924.793;1239973.281;442.238;;SE5
6005094;2630357.007;1240746.957;431.878;;SE5
630357240747;2630357.550;1240747.438;431.921;;SE5
6005093;2630234.539;1240643.191;431.690;;SE5
6005272;2629976.226;1240224.237;439.860;;SE5
6005271;2629905.020;1240201.747;443.137;;SE5
6005270;2629830.615;1240176.348;447.286;9999.;SE5
6005269;2629753.803;1240141.785;444.924;9999.;SE5
6005397;2629774.637;1240036.089;435.228;9999.;SE5
11085480;2630908.866;1240356.947;450.830;;SE5
11084590;2629739.352;1238666.892;428.359;;SE5
629504241522;2629505.346;1241522.779;427.513;;SE5
6005183;2629591.477;1241573.907;426.750;;SE5
629652241726;2629653.438;1241727.196;426.312;;SE5
6005538;2629762.115;1241527.867;426.630;;SE5
629448241609;2629449.037;1241610.209;426.579;;SE5
6005017;2629448.106;1241607.646;426.716;;SE5
629437241609;2629438.176;1241609.225;426.485;;SE5
629429241605;2629430.425;1241606.102;427.043;;SE5
6005541;2629371.777;1241581.234;427.803;;SE5
6005502;2629131.119;1241464.512;428.492;;SE5
628896241309;2628897.370;1241309.559;428.708;;SE5
628918241323;2628918.875;1241323.981;428.711;;SE5
6005540;2628933.123;1241326.570;428.580;;SE5
628921241318;2628922.378;1241319.097;428.540;;SE5
6005009;2629068.302;1241106.594;427.905;;SE5
6005189;2629133.167;1241004.818;428.014;;SE5
629178240908;2629179.122;1240908.768;428.303;;SE5
11084040;2629290.588;1241230.230;427.596;;SE5
11084040;2629290.590;1241230.208;427.584;;SE6
6005014;2629554.320;1241381.802;426.900;;SE6
629535241119;2629536.175;1241119.718;427.243;;SE6
629761241132;2629761.885;1241132.931;427.379;;SE6
6005499;2629768.787;1241131.187;427.195;;SE6
6005443;2629930.448;1241119.453;426.856;;SE6
6005522;2629956.241;1241333.694;426.215;;SE6
6005087;2630170.828;1241105.222;426.265;;SE6
630161240908;2630162.461;1240909.093;426.965;;SE6
6005216;2630160.279;1240906.562;426.968;;SE6
6005213;2629918.719;1240917.692;427.798;;SE6
6005422;2629741.523;1240946.410;427.049;;SE6
629746240945;2629746.978;1240945.982;427.013;;SE6
6005034;2629496.541;1240891.181;427.969;;SE6
629504240890;2629504.882;1240890.869;428.115;;SE6
6005061;2629278.600;1240734.682;428.607;;SE6
6005390;2629487.426;1240668.716;428.712;;SE6
629521240638;2629522.494;1240638.963;429.889;;SE6
6005346;2629701.142;1240702.788;435.159;;SE6
629845240698;2629845.826;1240698.422;434.776;;SE6
6005516;2629853.744;1240696.623;434.853;;SE6
6005035;2629990.967;1240585.911;437.502;;SE6
630087240509;2630087.763;1240509.542;439.805;;SE6
6005067;2630082.661;1240498.130;439.535;;SE6
629708240474;2629708.680;1240474.914;434.421;;SE6
6005404;2629707.107;1240477.897;434.279;;SE6
629724240458;2629725.174;1240458.597;434.480;;SE6
629682240500;2629682.922;1240500.370;434.469;;SE6
629484240535;2629485.134;1240535.758;432.512;;SE6
629474240533;2629475.206;1240533.568;432.612;;SE6
629472240522;2629472.966;1240523.008;432.631;;SE6
6005391;2629325.189;1240515.177;430.127;;SE6
629336240511;2629336.713;1240512.192;430.508;;SE6
629305240537;2629305.772;1240538.023;429.343;;SE6
629239240321;2629240.166;1240322.071;432.599;;SE6
629540240347;2629540.938;1240348.046;437.174;;SE6
6005491;2629542.446;1240346.300;437.313;;SE6
629545240348;2629546.207;1240348.858;437.356;;SE6
629544240349;2629545.133;1240349.912;437.402;9999.;SE6
6005515;2629724.588;1240294.935;443.057;;SE6
629727240294;2629727.872;1240295.285;443.109;;SE6
629731240286;2629732.279;1240286.817;443.224;;SE6
629733240283;2629734.384;1240284.338;443.356;;SE6
629736240289;2629736.703;1240289.366;443.366;;SE6
629734240291;2629734.739;1240291.709;443.261;;SE6
629719240292;2629720.511;1240292.815;443.041;;SE6
629717240290;2629718.369;1240290.957;443.091;;SE6
629717240285;2629718.185;1240286.126;443.119;;SE6
629696240271;2629697.067;1240272.279;443.794;;SE6
629696240267;2629697.413;1240267.976;443.794;;SE6
629684240261;2629684.645;1240261.391;444.166;;SE6
6005514;2629685.634;1240257.687;444.128;;SE6
629682240254;2629682.717;1240255.152;444.223;;SE6
629679240257;2629680.472;1240257.753;444.289;;SE6
629932240306;2629933.498;1240306.978;436.634;;SE6
6005529;2629921.768;1240296.148;436.731;;SE6
629925240296;2629926.006;1240296.838;436.746;;SE6
629944240307;2629944.679;1240307.680;436.806;;SE6
630048240246;2630048.802;1240247.114;438.623;;SE6
6005409;2630054.348;1240244.664;438.587;;SE6
630061240250;2630061.474;1240250.871;438.680;;SE6
6005405;2629717.848;1240162.515;444.903;;SE6
629716240160;2629716.940;1240160.446;444.847;;SE6
629706240174;2629706.782;1240174.602;445.552;;SE6
629710240169;2629710.684;1240170.299;445.387;;SE6
629715240175;2629715.851;1240175.430;445.513;;SE6
629714240177;2629715.400;1240178.029;445.647;;SE6
629717240172;2629718.183;1240172.882;445.409;;SE6
6005201;2629583.848;1240151.092;441.424;;SE6
629566240156;2629567.300;1240156.633;441.747;;SE6
629567240160;2629567.690;1240160.479;441.858;;SE6
629556240180;2629557.111;1240181.103;442.066;;SE6
629555240173;2629556.074;1240173.524;442.117;;SE6
6005196;2629308.753;1240207.973;436.275;;SE6
6005481;2629303.533;1240218.304;436.045;;SE6
629308240219;2629309.183;1240220.045;435.961;;SE6
630457239633;2630458.000;1239633.834;427.691;;SE6
630448239632;2630448.511;1239632.350;427.628;;SE6
11085480;2630908.862;1240356.932;450.830;;SE6
630908240355;2630909.438;1240356.144;451.029;;SE6
6005017;2629448.077;1241607.646;426.710;;SE6
629437241609;2629438.182;1241609.248;426.489;;SE6
629429241605;2629430.438;1241606.097;427.036;;SE6
11084040;2629290.595;1241230.222;427.587;;SE7
6005542;2629802.763;1241675.794;425.730;;SE7
6005535;2628952.748;1241643.231;428.949;;SE7
6005096;2630513.763;1240729.310;440.856;;SE7
11085480;2630908.854;1240356.931;450.847;;SE7
630689239656;2630689.895;1239656.501;424.996;;SE7
630678239647;2630678.827;1239648.196;425.089;;SE7
6005134;2629928.498;1239567.986;429.095;;SE7
10888350;2637077.423;1245609.106;386.393;;SE7
11084590;2629739.349;1238666.886;428.374;;SE8
629540240347;2629540.924;1240348.031;437.209;;SE8
629545240348;2629546.193;1240348.867;437.371;;SE8
629544240349;2629545.185;1240349.923;437.212;9999.;SE8
629566240156;2629567.304;1240156.611;441.764;;SE8
629567240160;2629567.699;1240160.462;441.881;;SE8
629570240164;2629571.264;1240165.211;441.806;;SE8
629715240175;2629715.838;1240175.454;445.527;;SE8
629717240172;2629718.153;1240172.901;445.440;;SE8
629714240177;2629715.385;1240178.020;445.672;;SE8
629716240182;2629717.336;1240182.830;445.954;;SE8
629706240174;2629706.786;1240174.605;445.588;;SE8
6005515;2629724.583;1240294.910;443.064;;SE8
629719240292;2629720.510;1240292.802;443.053;;SE8
629717240290;2629718.376;1240290.942;443.111;;SE8
629731240286;2629732.294;1240286.824;443.242;;SE8
629925240296;2629926.008;1240296.846;436.757;;SE8
6005529;2629921.785;1240296.145;436.749;;SE8
629932240306;2629933.489;1240306.952;436.634;;SE8
6005404;2629707.092;1240477.892;434.271;;SE8
629708240474;2629708.698;1240474.907;434.404;;SE8
6005061;2629278.575;1240734.672;428.623;;SE8
629415240611;2629416.285;1240612.245;429.777;;SE8
629416240602;2629416.490;1240603.027;429.883;;SE8
11084040;2629290.574;1241230.209;427.563;;SE8
11084040;2629290.587;1241230.216;427.611;;SE9
629551240586;2629552.063;1240586.397;431.967;;SE9
6005341;2629530.094;1240565.246;432.541;;SE9
629561240604;2629561.684;1240604.828;431.442;;SE9
6005403;2629660.555;1240535.043;432.412;;SE9
629660240536;2629661.467;1240536.357;432.553;;SE9
629620240492;2629621.052;1240492.774;433.096;;SE9
6005454;2629615.386;1240494.643;432.960;;SE9
6005406;2629754.933;1240430.120;434.523;;SE9
6005444;2629812.516;1240383.915;435.129;;SE9
6005407;2629888.701;1240338.023;436.264;;SE9
629887240337;2629887.946;1240337.863;436.363;;SE9
6004038;2629610.756;1240313.667;440.483;;SE9
629609240312;2629610.305;1240312.920;440.468;;SE9
629604240314;2629605.279;1240315.255;440.343;;SE9
629604240316;2629605.323;1240316.699;440.342;;SE9
629603240317;2629604.419;1240317.737;440.193;;SE9
6005512;2629656.761;1240351.466;438.746;;SE9
6005456;2629715.745;1240392.834;435.294;;SE9
6005397;2629774.559;1240036.113;435.385;9999.;SE9
6005282;2629890.327;1239757.611;428.639;;SE9
630256239784;2630257.255;1239785.184;426.856;;SE9
6005272;2629976.228;1240224.230;439.841;;SE9
6005271;2629905.036;1240201.775;443.120;;SE9
6005270;2629830.647;1240176.437;447.376;9999.;SE9
6005269;2629753.731;1240141.877;444.907;9999.;SE9
629607240107;2629607.696;1240107.976;437.687;;SE9
629607240114;2629608.269;1240114.739;438.534;;SE9
629614240116;2629614.599;1240116.628;438.566;;SE9
629621240114;2629622.460;1240115.001;438.321;;SE9
6005200;2629529.956;1240202.732;442.048;;SE9
629528240212;2629528.592;1240213.133;441.889;;SE9
629522240218;2629523.195;1240219.185;441.804;;SE9
629469240280;2629470.270;1240280.979;438.784;;SE9
629469240285;2629470.326;1240285.538;438.573;;SE9
629475240284;2629476.131;1240285.092;438.484;;SE9
629477240271;2629477.949;1240272.274;439.104;;SE9
629475240312;2629476.351;1240312.312;437.165;;SE9
629476240403;2629477.094;1240403.486;434.303;;SE9
629471240404;2629471.767;1240404.799;434.323;;SE9
6005339;2629473.703;1240399.458;434.464;;SE9
6005458;2629423.963;1240476.292;433.023;;SE9
6005392;2629369.846;1240515.399;430.638;;SE9
6005198;2629467.358;1240359.771;435.004;;SE9
629464240356;2629464.949;1240356.958;435.267;;SE9
6005482;2629385.250;1240293.083;435.211;;SE9
6005387;2629431.336;1240229.831;438.747;;SE9
629486240165;2629487.009;1240166.091;440.349;;SE9
6005398;2629683.707;1240050.979;433.272;;SE9
11085480;2630908.862;1240356.937;450.828;;SE9
